audio_path,lang,lang_code,text,duration
indicvoices_data/audio/Hindi_0.wav,Hindi,hi,हमें कृषि के लिए उपयोग में आने वाली विभिन्न विभिन्न यात्रा औजारों का प्रयोग किया जाता है जैसे कि हम,8.0740208333
indicvoices_data/audio/Hindi_1.wav,Hindi,hi,हमारे यहाँ जब कटाई होती है तो हम लोग हाइवेस्टर के द्वारा कटाई करते हैं,5.2190208333
indicvoices_data/audio/Hindi_2.wav,Hindi,hi,ताकि उसमें से जो उसमें से ये है कि हम लोग को उसमें भूसा नहीं मिलता है जो हम लोग गायों को खिला सकें,6.703
indicvoices_data/audio/Hindi_3.wav,Hindi,hi,उसमें नी मिलता और जब वहाँ पल हाथ से कटाई करते हैं जो हँसिया क्या होती है उससे कटाई करते हैं तो हम लोग फिर उसको गहवाते हैं जो भी होता है गेहूँ या फिर धान हो उसको हम लोग गहवाते उसकी मसीन होती है अलग ही मसीन होती है उसकी,15.724
indicvoices_data/audio/Hindi_4.wav,Hindi,hi,अब नहीं होते उससे उसके लिए अलग से ही मसीन आ गई है जो हल चलते हैं,5.6680208333
indicvoices_data/audio/Hindi_5.wav,Hindi,hi,शेयर बाज़ार को हम जानते हैं शेयर में शेयर बाज़ार मे उतार चढ़ाव कैसे होता है ये पूरे अपने भारत में होती है भारत के होते हुए भी हमें जानकारी है कि,12.256
indicvoices_data/audio/Hindi_6.wav,Hindi,hi,चांदी गिरा कब चांदी का भाव बड़ा ये सब शेयर बाज़ार से हमको मालूम होता है कार हो गया जैसे गाड़ी हो गई बाइक हो गया मोटरसाइ और ट्रक हो गया बहुत से जो हैं वाहन भी शेयर बाज़ार से पता चलता है हमको,16.478
indicvoices_data/audio/Hindi_7.wav,Hindi,hi,ये सारी जानकारियाँ हमको शेयर बाज़ार से होती हैं अब तो घर बैठे बैठे हम हर एक किसी एप से भी हम पैसा लगा देते हैं ले लेते हैं,9.761
indicvoices_data/audio/Hindi_8.wav,Hindi,hi,सारे काम घर बैठे बैठे भी हो जाता है फ़ोन फ़ोन से हो जाता है शेयर बाज़ार तक पैसा पहुँच जाता है और उसकी भाव को हम पता वही से लगता है शेयर मार्किट से,12.4470208333
indicvoices_data/audio/Hindi_9.wav,Hindi,hi,जी हाँ हमारे यहाँ कई गाइड और सर्विस प्रोवाइडर है जो हमारे क्षेत्रों मे पर्यटकों को क्षेत्र में मार्गदर्शित कराते है अब वो कई भाषाएं भी बोलते है अगर हम बात करें तो उसमें आते है रेडियन ट्रैवलस प्राइवेट लिमिटेड,15.6160208333
indicvoices_data/audio/Telugu_0.wav,Telugu,te,ఈయొక్క మూడు యాప్లను ఈయొక్క ప్రస్తుత కాలంలో చాలా ఎక్కువ మంది ఉపయోగిస్తున్నారు,6.2080208333
indicvoices_data/audio/Telugu_1.wav,Telugu,te,లేదంటే అక్కడ ఉన్న వాతావరణాన్ని దృశ్యాన్ని ఇక్కడి వారు చూడటానికి,5.0540208333
indicvoices_data/audio/Telugu_2.wav,Telugu,te,ఫోటో తీసి పంపడం వలన లేదంటే ఈయొక్క వీడియో కాల్ అనే ఆయొక్క ఉపయోగకరమైన కాన్ఫిడెన్స్ ద్వారా,8.3200208333
indicvoices_data/audio/Telugu_3.wav,Telugu,te,పెద్ద చిన్న ప్రతీ ఒక్కరు కూడా ఉపయోగిస్తున్నారు ఇకపోతే ఇన్స్టాగ్రామ్ అనేది ఒక పెద్ద సోషల్ మీడియా ఇందులో మన దేశం వాళ్ళే కాకుండా ఇతర దేశ వాళ్ళు కూడా,14.8470208333
indicvoices_data/audio/Telugu_4.wav,Telugu,te,చాలా మంది ఈ యొక్క ఇన్స్టాగ్రామ్ అనేది వాడుతూ ఉంటారు వాడి చేసే కార్యకలాపాలను ఇందులో పెట్టడం ద్వారా ప్రపంచమంతా చూడటానికి ఇవి ఆ యొక్క విధమైన,12.354
indicvoices_data/audio/Telugu_5.wav,Telugu,te,ఈయొక్క అవకాశం అనేది ఉంటుంది అందుచేత ఈయొక్క ఇన్స్టాగ్రామ్ అనేది చిన్నల నుండి పెద్దల వరకు అందరు కూడా ఉపయోగిస్తున్నారు,10.5270208333
indicvoices_data/audio/Telugu_6.wav,Telugu,te,ఇకపోతే ఈయొక్క ఫోన్లో వల్ల ఉపయోగాలు ఏంటంటే ఏదైనా మనకి ఏ విషయమైనా తెలుసుకోక లేకపోతే,8.7990208333
indicvoices_data/audio/Telugu_7.wav,Telugu,te,తెలియకపోతే ఈయొక్క ఫోన్ ద్వారా ఈ యొక్క గూగుల్ అనే దాని ద్వారా మనము వెంటనే మన సమస్యకి కానీ,9.2800208333
indicvoices_data/audio/Telugu_8.wav,Telugu,te,తెలియని విషయానికి కానీ మనం చూస్తూ వెంటనే జవాబు అనేది పొందవచ్చు,6.016
